	reference	query	distance	pvalue	matching-hashes	percentage
29	AJLJ01_Fischerella	./CENA71.fasta	0.07406979999999999	0.0	118/1000	11.8
62	ALVS01_Fischerella	./CENA71.fasta	0.0794837	0.0	104/1000	10.4
1927	LIRN01_Hapalosiphon	./CENA71.fasta	0.0799006	0.0	103/1000	10.3
67	ALVX01_Fischerella	./CENA71.fasta	0.0799006	0.0	103/1000	10.3
1998	MNPM02_Mastigocladus	./CENA71.fasta	0.0816138	0.0	99/1000	9.9
2051	NAPS01_Westiellopsis	./CENA71.fasta	0.0820539	0.0	98/1000	9.8
2804	QLKN01_Hapalosiphonaceae	./CENA71.fasta	0.08340410000000001	0.0	95/1000	9.5
1748	JAHHHW01_MAG:	./CENA71.fasta	0.08624910000000001	0.0	89/1000	8.9
30	AJLK01_Fischerella	./CENA71.fasta	0.126974	9.205259999999998e-154	36/1000	3.6
1339	JACJRZ01_Fischerella	./CENA71.fasta	0.126974	9.383779999999998e-154	36/1000	3.6
2134	NRQW01_Fischerella	./CENA71.fasta	0.126974	6.184729999999998e-154	36/1000	3.6
2107	NMQE01_Fischerella	./CENA71.fasta	0.132399	5.3670399999999995e-136	32/1000	3.2
2112	NMQJ01_Fischerella	./CENA71.fasta	0.133864	2.594439999999999e-131	31/1000	3.1
2105	NMQC01_Fischerella	./CENA71.fasta	0.133864	1.7038799999999995e-132	31/1000	3.1
2113	NMQK01_Fischerella	./CENA71.fasta	0.133864	8.864639999999998e-131	31/1000	3.1
2063	NGZU01_Fischerella	./CENA71.fasta	0.13538	7.472279999999998e-128	30/1000	3.0
2109	NMQG01_Fischerella	./CENA71.fasta	0.13694800000000001	3.1468599999999994e-123	29/1000	2.9
2071	NHAC01_Fischerella	./CENA71.fasta	0.13694800000000001	3.053809999999999e-123	29/1000	2.9
1453	JACYMA01_Fischerella	./CENA71.fasta	0.13694800000000001	2.6847299999999994e-123	29/1000	2.9
1450	JACYLX01_Fischerella	./CENA71.fasta	0.13694800000000001	1.7493299999999996e-123	29/1000	2.9
26	AGIZ01_Fischerella	./CENA71.fasta	0.13694800000000001	3.789729999999999e-123	29/1000	2.9
2076	NHAH01_Fischerella	./CENA71.fasta	0.13694800000000001	3.666159999999999e-123	29/1000	2.9
2110	NMQH01_Fischerella	./CENA71.fasta	0.13694800000000001	3.5242099999999994e-123	29/1000	2.9
2111	NMQI01_Fischerella	./CENA71.fasta	0.13694800000000001	1.0657299999999999e-122	29/1000	2.9
2067	NGZY01_Fischerella	./CENA71.fasta	0.13694800000000001	2.7806699999999993e-123	29/1000	2.9
2077	NHAI01_Fischerella	./CENA71.fasta	0.13694800000000001	2.9840999999999993e-123	29/1000	2.9
2064	NGZV01_Fischerella	./CENA71.fasta	0.13694800000000001	3.739679999999999e-123	29/1000	2.9
2108	NMQF01_Fischerella	./CENA71.fasta	0.138572	6.062629999999999e-119	28/1000	2.8
2069	NHAA01_Fischerella	./CENA71.fasta	0.138572	1.7466399999999996e-118	28/1000	2.8
2066	NGZX01_Fischerella	./CENA71.fasta	0.138572	1.1351199999999998e-118	28/1000	2.8
2104	NMQB01_Fischerella	./CENA71.fasta	0.138572	1.1764599999999999e-117	28/1000	2.8
2072	NHAD01_Fischerella	./CENA71.fasta	0.138572	2.32014e-118	28/1000	2.8
2075	NHAG01_Fischerella	./CENA71.fasta	0.138572	1.3557899999999997e-118	28/1000	2.8
2059	NGAA01_Fischerella	./CENA71.fasta	0.138572	1.9752099999999997e-118	28/1000	2.8
2008	MRCA01_Fischerella	./CENA71.fasta	0.138572	3.3971799999999995e-118	28/1000	2.8
2079	NHAK01_Fischerella	./CENA71.fasta	0.138572	1.4567399999999998e-118	28/1000	2.8
1451	JACYLY01_Fischerella	./CENA71.fasta	0.138572	9.217339999999997e-119	28/1000	2.8
31	AJLL01_Fischerella	./CENA71.fasta	0.138572	1.89435e-118	28/1000	2.8
2132	NQMF01_Fischerella	./CENA71.fasta	0.138572	2.7109999999999996e-119	28/1000	2.8
2065	NGZW01_Fischerella	./CENA71.fasta	0.138572	1.6828999999999997e-118	28/1000	2.8
2070	NHAB01_Fischerella	./CENA71.fasta	0.138572	1.7189899999999995e-118	28/1000	2.8
2062	NGZT01_Fischerella	./CENA71.fasta	0.138572	1.4234099999999997e-118	28/1000	2.8
2061	NGZS01_Fischerella	./CENA71.fasta	0.138572	1.6877e-118	28/1000	2.8
2131	NQME01_Fischerella	./CENA71.fasta	0.138572	8.24697e-119	28/1000	2.8
2074	NHAF01_Fischerella	./CENA71.fasta	0.138572	1.83124e-118	28/1000	2.8
2073	NHAE01_Fischerella	./CENA71.fasta	0.138572	1.39217e-118	28/1000	2.8
2106	NMQD01_Fischerella	./CENA71.fasta	0.140258	6.321889999999998e-113	27/1000	2.7
2068	NGZZ01_Fischerella	./CENA71.fasta	0.140258	8.920399999999997e-114	27/1000	2.7
2130	NQMD01_Fischerella	./CENA71.fasta	0.140258	1.9779199999999996e-114	27/1000	2.7
2103	NMQA01_Fischerella	./CENA71.fasta	0.140258	2.7570299999999995e-113	27/1000	2.7
2060	NGJL01_Mastigocladus	./CENA71.fasta	0.142009	1.9386899999999997e-109	26/1000	2.6
2078	NHAJ01_Fischerella	./CENA71.fasta	0.142009	5.53506e-109	26/1000	2.6
904	DSPK01_uncultured	./CENA71.fasta	0.14382999999999999	2.1092699999999997e-105	25/1000	2.5
1386	JACJTU01_Nostoc	./CENA71.fasta	0.197292	1.47232e-29	8/1000	0.8
1976	LWTK01_Nostoc	./CENA71.fasta	0.197292	1.05294e-29	8/1000	0.8
1349	JACJSJ01_Nostoc	./CENA71.fasta	0.197292	1.6215e-29	8/1000	0.8
1212	JABXKN01_Nostoc	./CENA71.fasta	0.203604	8.013280000000001e-26	7/1000	0.7
1918	LAHI01_Nostoc	./CENA71.fasta	0.203604	1.5601700000000002e-25	7/1000	0.7
1376	JACJTK01_Nostoc	./CENA71.fasta	0.203604	1.24938e-25	7/1000	0.7
1917	LAHH01_Nostoc	./CENA71.fasta	0.203604	1.40423e-25	7/1000	0.7
1907	LAGX01_Nostoc	./CENA71.fasta	0.203604	1.16319e-25	7/1000	0.7
1916	LAHG01_Nostoc	./CENA71.fasta	0.203604	1.1481900000000003e-25	7/1000	0.7
1915	LAHF01_Nostoc	./CENA71.fasta	0.203604	1.22246e-25	7/1000	0.7
1914	LAHE01_Nostoc	./CENA71.fasta	0.203604	1.1299200000000003e-25	7/1000	0.7
1210	JABXKL01_Nostoc	./CENA71.fasta	0.203604	8.107699999999999e-26	7/1000	0.7
1913	LAHD01_Nostoc	./CENA71.fasta	0.203604	1.1715699999999999e-25	7/1000	0.7
1395	JACKZN01_Nostoc	./CENA71.fasta	0.203604	8.79985e-26	7/1000	0.7
1912	LAHC01_Nostoc	./CENA71.fasta	0.203604	1.1651900000000002e-25	7/1000	0.7
1911	LAHB01_Nostoc	./CENA71.fasta	0.203604	1.1551500000000001e-25	7/1000	0.7
1399	JACKZR01_Nostoc	./CENA71.fasta	0.203604	9.23667e-26	7/1000	0.7
1400	JACKZS01_Nostoc	./CENA71.fasta	0.203604	9.55634e-26	7/1000	0.7
1909	LAGZ01_Nostoc	./CENA71.fasta	0.203604	1.14308e-25	7/1000	0.7
3067	VRZE01_Nostoc	./CENA71.fasta	0.203604	8.255560000000001e-26	7/1000	0.7
1908	LAGY01_Nostoc	./CENA71.fasta	0.203604	1.15402e-25	7/1000	0.7
1910	LAHA01_Nostoc	./CENA71.fasta	0.203604	1.14856e-25	7/1000	0.7
1919	LAHJ01_Nostoc	./CENA71.fasta	0.203604	1.10847e-25	7/1000	0.7
1563	JAECZC01_Amazonocrinis	./CENA71.fasta	0.21089699999999997	6.86166e-22	6/1000	0.6
3110	WVID01_Nostoc	./CENA71.fasta	0.21089699999999997	5.03103e-22	6/1000	0.6
1213	JABXKO01_Nostoc	./CENA71.fasta	0.21089699999999997	5.45515e-22	6/1000	0.6
1422	JACVRH01_Nostoc	./CENA71.fasta	0.21089699999999997	2.8962900000000003e-22	6/1000	0.6
1537	JADEXT01_Nostoc	./CENA71.fasta	0.21089699999999997	7.59666e-22	6/1000	0.6
1402	JACKZU01_Nostoc	./CENA71.fasta	0.21089699999999997	7.909429999999999e-22	6/1000	0.6
1204	JABXKF01_Nostoc	./CENA71.fasta	0.21089699999999997	7.731510000000001e-22	6/1000	0.6
